OBS_ID EXTENSION START END MIDTIME EXP_TIME FILTER PA HELIO HELIO_V OBS_DIS PHASE RA DEC PX PY
00091019001 1 2011-04-30T07:05:10.000 2011-04-30T07:09:59.000 2011-04-30T07:07:34.500 284.449112479162 UVW1 55.0238653922682 3.353850760124 -16.8771715 3.78075869244899 14.7157 344.30987 -9.95784 692.7184071378094 526.0336379359791
00091019001 1 2011-04-30T06:59:41.000 2011-04-30T07:05:05.000 2011-04-30T07:02:23.000 318.654676694339 V 55.0238653922682 3.353885907622 -16.8771592 3.78084818852045 14.7153 344.30979 -9.95851 698.325451472309 529.8939791223268
00091019002 1 2011-04-30T07:27:28.000 2011-04-30T07:28:54.000 2011-04-30T07:28:11.000 84.214265037278 UVW2 55.0023788468009 3.353711244232 -16.8772206 3.78044677957256 14.7169 344.3105 -9.95508 1103.2606102747898 1100.2415595214588
00091019002 1 2011-04-30T07:10:23.000 2011-04-30T07:27:28.000 2011-04-30T07:18:55.500 565.6144962 UGRISM 55.0023788468009 3.35377392167 -16.8771985 3.78057990609363 14.7164 344.31011 -9.95632 619.9358687997342 1479.1886543431403
00091211001 1 2011-04-23T06:13:49.000 2011-04-23T06:18:12.000 2011-04-23T06:16:00.500 259.614875093991 V 75.9952507472372 3.422388579901 -16.850625 3.94813011802103 13.3837 343.66215 -11.10595 645.9785504927086 559.4885720181649
00091211001 1 2011-04-23T06:18:18.000 2011-04-23T06:21:59.000 2011-04-23T06:20:08.500 218.101240954077 UVW1 75.9952507472372 3.422360641119 -16.8506367 3.94805568908817 13.3843 343.6623 -11.10554 641.4575509091561 554.4714202879754
00091211002 1 2011-04-23T06:22:23.000 2011-04-23T06:39:28.000 2011-04-23T06:30:55.500 532.486128 UGRISM 76.0165320063489 3.422287752996 -16.8506675 3.94787304401254 13.3854 343.66259 -11.10437 673.6104970199116 1419.6855503852291
00091211002 1 2011-04-23T06:39:29.000 2011-04-23T06:40:54.000 2011-04-23T06:40:11.500 83.5955005953931 UVW2 76.0165320063489 3.422225117275 -16.8506939 3.94773131147448 13.3859 343.66285 -11.10323 1273.7867886247327 1236.9191809280076
00091254001 1 2011-10-28T01:57:50.000 2011-10-28T02:00:59.000 2011-10-28T01:59:24.500 186.176034577005 UVW1 232.025014615436 1.733284177351 -10.3943035 1.9817730977127 30.0929 264.79556 18.71811 550.6264224660819 510.99117668102014
00091254001 1 2011-10-28T01:53:51.000 2011-10-28T01:57:45.000 2011-10-28T01:55:48.000 230.08945275614 V 232.025014615436 1.733299219887 -10.3946411 1.98175924359391 30.0935 264.79608 18.71791 549.8819680514243 523.7748841658048
00091254002 1 2011-10-28T02:01:23.000 2011-10-28T02:19:23.000 2011-10-28T02:10:23.000 730.8871584 UGRISM 232.001830927964 1.733238427768 -10.3932767 1.98182531739421 30.0916 264.79363 18.71857 1476.5602067023776 800.7537236226724
00091254002 1 2011-10-28T02:19:23.000 2011-10-28T02:20:53.000 2011-10-28T02:20:08.000 88.6010872847255 UVW2 232.001830927964 1.733197788964 -10.3923643 1.98188732689905 30.0912 264.79177 18.7187 1035.4459358187194 1238.221542374122
00091255001 1 2011-10-31T00:33:34.000 2011-10-31T00:36:58.000 2011-10-31T00:35:16.000 200.542338082768 V 232.065611395433 1.715967647322 -9.989368 2.00546713593174 29.6693 264.39241 18.74157 507.8933946362262 596.7497345270283
00091255001 1 2011-10-31T00:37:03.000 2011-10-31T00:40:00.000 2011-10-31T00:38:31.500 173.384200556779 UVW1 232.065611395433 1.715954593443 -9.9890498 2.00547876308408 29.6688 264.39194 18.74175 503.17644659088126 596.1877775773539
00091255002 1 2011-10-31T00:57:27.000 2011-10-31T00:58:53.000 2011-10-31T00:58:10.000 84.2678660827022 UVW2 231.999874880198 1.715875912746 -9.9871318 2.00557919023477 29.6672 264.38856 18.74221 1048.5921433506478 1197.5598738508909
00091255002 1 2011-10-31T00:40:23.000 2011-10-31T00:57:28.000 2011-10-31T00:48:55.500 692.4056976 UGRISM 231.999874880198 1.715912930945 -9.9880343 2.00552479513688 29.6676 264.3902 18.74215 1490.1878010299272 765.2394108772287
00091256001 1 2011-12-20T07:21:52.000 2011-12-20T07:24:16.000 2011-12-20T07:23:04.000 141.502457695917 V 163.016635211353 1.551240519863 -0.7205849 2.03564608690834 27.8825 262.59489 23.83324 553.3207828306884 639.0984630966152
00091256001 1 2011-12-20T07:24:21.000 2011-12-20T07:25:59.000 2011-12-20T07:25:10.000 96.5791428515843 UVW1 163.016635211353 1.551239913041 -0.7202744 2.03563202353457 27.8826 262.59481 23.83367 542.5912521068309 638.1466962405544
00091256002 1 2011-12-20T07:26:23.000 2011-12-20T07:49:50.000 2011-12-20T07:38:06.500 834.4092372 UGRISM 162.987600196696 1.551236179184 -0.7183604 2.03555668548501 27.8831 262.59388 23.83615 948.8521109126704 660.6412302412535
00091256002 1 2011-12-20T07:49:50.000 2011-12-20T07:51:53.000 2011-12-20T07:50:51.500 120.559324331402 UVW2 162.987600196696 1.551232510397 -0.7164749 2.03550554552748 27.8837 262.59277 23.83806 1194.8236338630095 1262.4240961565497
00091257001 1 2011-12-23T20:31:57.000 2011-12-23T20:32:59.000 2011-12-23T20:32:28.000 61.4614158368048 UVW1 163.060548903495 1.550538777911 0.0359673 2.00917071257321 28.5375 262.59378 24.64412 481.6956053298503 582.3021785448425
00091257001 1 2011-12-23T20:30:13.000 2011-12-23T20:31:51.000 2011-12-23T20:31:02.000 96.2099392059746 V 163.060548903495 1.550538757294 0.0357549 2.00918067462423 28.5374 262.59388 24.64382 487.8498736174719 577.7195070617774
