OBS_ID EXTENSION START END MIDTIME EXP_TIME FILTER PA HELIO HELIO_V OBS_DIS PHASE RA DEC PX PY
00013089001 1 2020-01-13T00:54:26.000 2020-01-13T00:57:55.000 2020-01-13T00:56:10.500 206.492980496921 UVW2 118.000752680748 2.155738770175 14.0040822 1.96936545448111 27.1123 185.70632 -44.30389 378.39497654894035 741.6964479442695
00013090002 1 2020-01-13T00:58:18.000 2020-01-13T01:01:38.000 2020-01-13T00:59:58.000 196.611390559878 V 117.996038166767 2.155760067237 14.0049692 1.96937039861236 27.1121 185.70681 -44.30566 435.67403548316037 745.0945518267722
00013090002 2 2020-01-13T01:01:42.000 2020-01-13T01:04:55.000 2020-01-13T01:03:18.500 190.258927239662 V 117.996038166767 2.155778837806 14.0057509 1.96937579616305 27.1118 185.7072 -44.30716 434.9924953896796 742.4053754870781
00013091003 1 2020-01-13T01:05:18.000 2020-01-13T01:08:38.000 2020-01-13T01:06:58.000 196.622256409599 UVW1 118.012425638954 2.15579938827 14.0066067 1.96938304309799 27.1114 185.70762 -44.30875 422.3843355833994 731.2296418363842
00013091003 2 2020-01-13T01:08:41.000 2020-01-13T01:12:01.000 2020-01-13T01:10:21.000 195.4693164 UVW1 118.012425638954 2.155818394992 14.0073981 1.9693911221146 27.1109 185.70802 -44.31015 420.23543214729136 728.2320186850169
00013091003 3 2020-01-13T01:12:01.000 2020-01-13T01:15:16.000 2020-01-13T01:13:38.500 192.658730931511 UVW1 118.012425638954 2.155836887722 14.0081681 1.96940030911492 27.1104 185.70844 -44.31148 418.2046538865529 723.5205115632809
00013091003 4 2020-01-13T01:15:19.000 2020-01-13T01:18:39.000 2020-01-13T01:16:59.000 196.622236698307 UVW1 118.012425638954 2.155855662332 14.0089497 1.96941096431087 27.1098 185.7089 -44.31278 417.4793213411234 718.4963509577616
00013091003 5 2020-01-13T01:18:42.000 2020-01-13T01:22:02.000 2020-01-13T01:20:22.000 196.622236698307 UVW1 118.012425638954 2.155874672047 14.009741 1.96942304006015 27.1091 185.70944 -44.31407 416.69713514309694 713.9383601675327
00013091003 6 2020-01-13T01:22:05.000 2020-01-13T01:22:55.000 2020-01-13T01:22:30.000 49.7229419979865 UVW1 118.012425638954 2.155886658991 14.01024 1.96943125956976 27.1087 185.70981 -44.31487 414.39511089838885 711.669438711083
00013093001 1 2020-01-13T07:17:06.000 2020-01-13T07:19:55.000 2020-01-13T07:18:30.500 166.543068025917 UVW2 118.023571759258 2.15789301934 14.0933765 1.97041293229155 27.0854 185.7952 -44.47442 361.7835889873707 708.0334456960178
