OBS_ID EXTENSION START END MIDTIME EXP_TIME FILTER PA HELIO HELIO_V OBS_DIS PHASE RA DEC PX PY
00012975001 1 2019-12-20T01:38:07.000 2019-12-20T01:40:55.000 2019-12-20T01:39:31.000 165.706926986432 UVW2 111.029504810134 2.022912843331 4.8729708 1.94633970949815 28.6269 176.79411 -27.18609 386.1677246518781 788.8708433827899
00012976002 1 2019-12-20T01:41:18.000 2019-12-20T01:44:38.000 2019-12-20T01:42:58.000 196.633082836735 V 110.98629074116 2.022919586933 4.8739674 1.94633136745687 28.6267 176.79476 -27.18803 456.20361807968123 800.7742417007324
00012976002 2 2019-12-20T01:44:41.000 2019-12-20T01:47:55.000 2019-12-20T01:46:18.000 191.333940392672 V 110.98629074116 2.022926103765 4.8749304 1.94632545407733 28.6265 176.79537 -27.1899 456.01607420973403 792.680619754361
00012977003 1 2019-12-20T01:48:18.000 2019-12-20T01:51:38.000 2019-12-20T01:49:58.000 196.633082954064 UVW1 111.010066447236 2.022933273727 4.8759896 1.94632140851876 28.6263 176.79604 -27.19193 439.0901267238298 781.6670338678803
00012977003 2 2019-12-20T01:51:41.000 2019-12-20T01:55:01.000 2019-12-20T01:53:21.000 196.622216987015 UVW1 111.010066447236 2.022939890993 4.8769669 1.94631986356379 28.6259 176.79667 -27.19378 436.8477551417834 775.1576900930987
00012977003 3 2019-12-20T01:55:04.000 2019-12-20T01:58:24.000 2019-12-20T01:56:44.000 196.633082954064 UVW1 111.010066447236 2.022946509554 4.8779443 1.94632021623672 28.6256 176.79734 -27.19561 435.5103603355139 769.4655818670094
00012977003 4 2019-12-20T01:58:27.000 2019-12-20T02:01:47.000 2019-12-20T02:00:07.000 196.622236815636 UVW1 111.010066447236 2.022953129416 4.8789216 1.9463221738383 28.6252 176.79805 -27.1974 431.8906781734209 762.7151934123955
00012977003 5 2019-12-20T02:01:50.000 2019-12-20T02:05:10.000 2019-12-20T02:03:30.000 196.622236815636 UVW1 111.010066447236 2.022959750583 4.8798989 1.94632536474534 28.6248 176.79881 -27.19918 429.2708851569088 755.6618252540788
00012977003 6 2019-12-20T02:05:12.000 2019-12-20T02:05:55.000 2019-12-20T02:05:33.500 42.2520020085498 UVW1 111.010066447236 2.022963779374 4.8804935 1.94632772754266 28.6246 176.79931 -27.20024 427.65900850823175 753.5267318211049
00012979001 1 2019-12-20T12:36:40.000 2019-12-20T12:38:55.000 2019-12-20T12:37:47.500 133.119315484294 UVW2 110.979777966527 2.024180424987 5.0609656 1.94525979570864 28.6192 176.9776 -27.53491 400.9576071970345 807.8196586725884
00012980002 1 2019-12-20T12:39:19.000 2019-12-20T12:42:39.000 2019-12-20T12:40:59.000 196.611370848586 V 111.012837508324 2.024186904325 5.0618856 1.94524707138195 28.6193 176.97835 -27.53672 459.87280962517855 805.3998039536599
00012980002 2 2019-12-20T12:42:42.000 2019-12-20T12:45:55.000 2019-12-20T12:44:18.500 190.845290893319 V 111.012837508324 2.024193655571 5.062844 1.94523512389161 28.6194 176.97907 -27.53861 459.0109778978851 797.3032070573299
00012981003 1 2019-12-20T12:46:18.000 2019-12-20T12:49:38.000 2019-12-20T12:47:58.000 196.622197275723 UVW1 110.998467764896 2.024201085077 5.0638984 1.94522390007644 28.6194 176.9798 -27.54069 437.06270076774075 793.0600025840158
00012981003 2 2019-12-20T12:49:41.000 2019-12-20T12:53:01.000 2019-12-20T12:51:21.000 196.622197393052 UVW1 110.998467764896 2.024207957444 5.0648736 1.94521558108954 28.6192 176.98044 -27.5426 437.4584749253222 784.4151146022058
00012981003 3 2019-12-20T12:53:04.000 2019-12-20T12:56:24.000 2019-12-20T12:54:44.000 196.622217104344 UVW1 110.998467764896 2.024214831098 5.0658488 1.94520940100529 28.6191 176.98106 -27.5445 435.93432106749043 778.0647860561489
00012981003 4 2019-12-20T12:56:27.000 2019-12-20T12:59:47.000 2019-12-20T12:58:07.000 196.633082954064 UVW1 110.998467764896 2.024221706038 5.0668239 1.94520540617537 28.6188 176.98168 -27.54638 433.235445332884 771.3014454060831
00012981003 5 2019-12-20T12:59:50.000 2019-12-20T13:03:10.000 2019-12-20T13:01:30.000 196.622197393052 UVW1 110.998467764896 2.024228582266 5.0677991 1.94520353485867 28.6185 176.9823 -27.54824 432.2313972166378 764.3593202870363
00012981003 6 2019-12-20T13:03:13.000 2019-12-20T13:03:55.000 2019-12-20T13:03:34.000 41.6330406884031 UVW1 110.998467764896 2.024232783158 5.0683947 1.94520336926955 28.6183 176.98269 -27.54936 430.9617396131312 762.0956977856475
00012983001 1 2019-12-20T17:22:50.000 2019-12-20T17:25:55.000 2019-12-20T17:24:22.500 182.907452697932 UVW2 111.012015167068 2.02476689318 5.1435312 1.94482182131625 28.6154 177.05706 -27.68674 448.6459521443358 870.6735176212566
00012984002 1 2019-12-20T17:26:18.000 2019-12-20T17:29:38.000 2019-12-20T17:27:58.000 196.622256409599 V 110.973768721953 2.024774303572 5.1445655 1.94480767850665 28.6155 177.0579 -27.68878 449.2323887246525 789.9686981164718
00012984002 2 2019-12-20T17:29:41.000 2019-12-20T17:32:55.000 2019-12-20T17:31:18.000 191.127665828309 V 110.973768721953 2.024781182274 5.1455254 1.94479594786496 28.6156 177.05862 -27.69067 448.5439264586726 782.3470349590723
00012985003 1 2019-12-20T17:33:18.000 2019-12-20T17:36:38.000 2019-12-20T17:34:58.000 196.633082954064 UVW1 111.006938960495 2.024788750296 5.1465813 1.94478498748248 28.6155 177.05935 -27.69276 438.1102668536033 794.6819597235905
00012985003 2 2019-12-20T17:36:41.000 2019-12-20T17:40:01.000 2019-12-20T17:38:21.000 196.622236698307 UVW1 111.006938960495 2.024795734858 5.1475555 1.94477694356649 28.6154 177.05999 -27.69467 436.2580962454079 787.1123485326082
00012985003 3 2019-12-20T17:40:04.000 2019-12-20T17:43:23.000 2019-12-20T17:41:43.500 196.633102548027 UVW1 111.006938960495 2.024802703497 5.1485273 1.9447710495904 28.6152 177.06061 -27.69656 434.9388344391629 780.7476929640659
00012985003 4 2019-12-20T17:43:27.000 2019-12-20T17:46:46.000 2019-12-20T17:45:06.500 196.633102665356 UVW1 111.006938960495 2.024809690626 5.1495016 1.94476731631007 28.615 177.06123 -27.69844 433.4441953997645 774.0138352168574
00012985003 5 2019-12-20T17:46:49.000 2019-12-20T17:50:09.000 2019-12-20T17:48:29.000 196.622256409599 UVW1 111.006938960495 2.024816661825 5.1504734 1.94476569480124 28.6147 177.06185 -27.7003 431.2631851731909 767.4866878740071
00012985003 6 2019-12-20T17:50:12.000 2019-12-20T17:50:55.000 2019-12-20T17:50:33.500 42.6646494590783 UVW1 111.006938960495 2.024820948459 5.1510708 1.94476567051863 28.6145 177.06224 -27.70142 430.2913057978221 763.1809533013796
00012987001 1 2019-12-20T22:11:51.000 2019-12-20T22:12:55.000 2019-12-20T22:12:23.000 63.6983495226185 UVW2 111.007280829702 2.025365833996 5.2264272 1.94439007264538 28.6115 177.13679 -27.83928 403.1906020808045 831.1402822852954
00012988002 1 2019-12-20T22:13:19.000 2019-12-20T22:16:39.000 2019-12-20T22:14:59.000 196.622236698307 V 111.001674783878 2.025371284654 5.2271752 1.94438015627653 28.6115 177.13739 -27.84076 453.8153786378482 797.5625855463561
00012988002 2 2019-12-20T22:16:42.000 2019-12-20T22:19:55.000 2019-12-20T22:18:18.500 190.61724520693 V 111.001674783878 2.025378256323 5.2281318 1.94436871387952 28.6116 177.13811 -27.84265 453.1409721840505 790.553935607981
00012989003 1 2019-12-20T22:20:19.000 2019-12-20T22:23:39.000 2019-12-20T22:21:59.000 196.611370848586 UVW1 110.99741936811 2.025385963301 5.229189 1.94435802922745 28.6115 177.13884 -27.84474 439.32352945391193 785.9361255538736
00012989003 2 2019-12-20T22:23:42.000 2019-12-20T22:27:02.000 2019-12-20T22:25:22.000 196.633082954064 UVW1 110.99741936811 2.025393059956 5.2301623 1.94435027081169 28.6114 177.13948 -27.84666 439.02709813618065 779.2786943589409
00012989003 3 2019-12-20T22:27:05.000 2019-12-20T22:30:25.000 2019-12-20T22:28:45.000 196.622236698307 UVW1 110.99741936811 2.025400157894 5.2311356 1.94434464937906 28.6112 177.14009 -27.84855 436.8569607993707 772.9924983094045
00012989003 4 2019-12-20T22:30:28.000 2019-12-20T22:33:47.000 2019-12-20T22:32:07.500 196.611370848586 UVW1 110.99741936811 2.025407239628 5.2321065 1.9443412035578 28.611 177.1407 -27.85043 435.9441739791613 766.2011754841378
00012989003 5 2019-12-20T22:33:52.000 2019-12-20T22:37:11.000 2019-12-20T22:35:31.500 196.633082954064 UVW1 110.99741936811 2.025414375111 5.2330845 1.94433984022796 28.6107 177.14133 -27.85229 433.62290677040414 759.7417922193175
00012989003 6 2019-12-20T22:37:14.000 2019-12-20T22:37:56.000 2019-12-20T22:37:35.000 40.4928520310338 UVW1 110.99741936811 2.025418695508 5.2336766 1.94433997097965 28.6105 177.14172 -27.8534 433.12613496735077 756.1637323432304
00012991001 1 2019-12-21T14:16:45.000 2019-12-21T14:18:55.000 2019-12-21T14:17:50.000 128.558580214121 UVM2 111.023185475563 2.027443339614 5.503706 1.94302334814087 28.597 177.40309 -28.35018 372.87754158455346 914.2008386530721
00012992002 1 2019-12-21T14:19:20.000 2019-12-21T14:22:39.000 2019-12-21T14:20:59.500 196.611351137294 V 110.99131236929 2.027450312021 5.5046116 1.9430164303253 28.5969 177.40369 -28.35197 458.109444685139 756.4191455332423
00012992002 2 2019-12-21T14:22:42.000 2019-12-21T14:25:55.000 2019-12-21T14:24:18.500 189.933108382424 V 110.99131236929 2.027457635166 5.5055625 1.9430111395191 28.5967 177.40429 -28.35384 457.3902031504325 749.3945219854519
00012993003 1 2019-12-21T14:26:19.000 2019-12-21T14:29:38.000 2019-12-21T14:27:58.500 196.600485287574 UVW1 111.007813542602 2.027465732533 5.5066137 1.94300768958544 28.5964 177.40495 -28.35588 431.30867487589046 777.224406479175
00012993003 2 2019-12-21T14:29:42.000 2019-12-21T14:33:02.000 2019-12-21T14:31:22.000 196.611331543331 UVW1 111.007813542602 2.027473223934 5.5075861 1.94300667176603 28.5961 177.40557 -28.35773 429.54343313230527 770.5840873930033
00012993003 3 2019-12-21T14:33:05.000 2019-12-21T14:36:24.000 2019-12-21T14:34:44.500 196.633063242772 UVW1 111.007813542602 2.027480679801 5.5085537 1.94300755817575 28.5958 177.40621 -28.35955 428.18461639458155 764.5754168301888
00012993003 4 2019-12-21T14:36:28.000 2019-12-21T14:39:47.000 2019-12-21T14:38:07.500 196.62217768176 UVW1 111.007813542602 2.027488155361 5.5095236 1.94301008263966 28.5954 177.40689 -28.36134 425.65357257322717 757.7731309813671
00012993003 5 2019-12-21T14:39:50.000 2019-12-21T14:43:10.000 2019-12-21T14:41:30.000 196.62217768176 UVW1 111.007813542602 2.027495613797 5.5104912 1.94301388785979 28.595 177.40762 -28.36309 422.0531336269611 752.2588637999618
00012993003 6 2019-12-21T14:43:14.000 2019-12-21T14:43:55.000 2019-12-21T14:43:34.500 40.9272311810031 UVW1 111.007813542602 2.027500199995 5.511086 1.9430166912428 28.5948 177.4081 -28.36415 420.437668320663 749.1167837040315
00013019001 1 2019-12-22T14:00:16.000 2019-12-22T14:02:55.000 2019-12-22T14:01:35.500 156.932908563634 UVW2 112.021642984638 2.030702524849 5.910845 1.94129877704961 28.5713 177.79574 -29.10049 379.54621240925667 767.7795328770392
00013020002 1 2019-12-22T14:03:18.000 2019-12-22T14:06:38.000 2019-12-22T14:04:58.000 196.622197393052 V 111.999210239124 2.03071052682 5.9118076 1.94128719944667 28.5714 177.79653 -29.10242 466.5804794767968 807.5376930439231
00013020002 2 2019-12-22T14:06:41.000 2019-12-22T14:09:56.000 2019-12-22T14:08:18.500 191.431634835683 V 111.999210239124 2.030718451016 5.9127606 1.94127707543746 28.5715 177.79725 -29.10433 465.3532743337882 800.3323673684844
00013021003 1 2019-12-22T14:10:19.000 2019-12-22T14:13:39.000 2019-12-22T14:11:59.000 196.622197393052 UVW1 112.011052364673 2.030727167093 5.9138087 1.94126784594907 28.5715 177.79798 -29.10643 436.1410774820583 784.2200079537259
00013021003 2 2019-12-22T14:13:42.000 2019-12-22T14:17:01.000 2019-12-22T14:15:21.500 196.622197393052 UVW1 112.011052364673 2.030735172975 5.9147712 1.94126137453406 28.5714 177.79861 -29.10835 435.47383379901225 778.1872559737369
00013021003 3 2019-12-22T14:17:05.000 2019-12-22T14:20:25.000 2019-12-22T14:18:45.000 196.622197393052 UVW1 112.011052364673 2.030743219663 5.9157384 1.94125694457103 28.5712 177.79923 -29.11026 434.3269843409623 770.7334831207326
00013021003 4 2019-12-22T14:20:28.000 2019-12-22T14:23:48.000 2019-12-22T14:22:08.000 196.62217768176 UVW1 112.011052364673 2.030751247851 5.9167032 1.94125462754792 28.5709 177.79983 -29.11213 431.67767046311775 764.4708132412281
