OBS_ID EXTENSION START END MIDTIME EXP_TIME FILTER PA HELIO HELIO_V OBS_DIS PHASE RA DEC PX PY
00012120001 1 2019-11-01T14:07:07.000 2019-11-01T14:08:55.000 2019-11-01T14:08:01.000 106.64531490014 U 110.041198113345 2.168084917007 -14.5044114 2.41944659700535 24.2051 156.02763 7.50328 377.8979391943947 836.8715803602684
00012122001 1 2019-11-01T14:16:18.000 2019-11-01T14:19:38.000 2019-11-01T14:17:58.000 196.633082954064 UVW1 110.008696086785 2.16802703242 -14.502127 2.41931409571062 24.2062 156.03019 7.49914 446.37348055452617 797.2460294239028
00012122001 2 2019-11-01T14:19:41.000 2019-11-01T14:23:01.000 2019-11-01T14:21:21.000 196.633082954064 UVW1 110.008696086785 2.168007351971 -14.5013502 2.41927259089903 24.2064 156.03102 7.49769 444.94938806527796 790.4050176227305
00012122001 3 2019-11-01T14:23:04.000 2019-11-01T14:26:24.000 2019-11-01T14:24:44.000 196.622216987015 UVW1 110.008696086785 2.167987672678 -14.5005734 2.41923321617206 24.2066 156.03184 7.49622 442.53851750120737 785.2628117270708
00012122001 4 2019-11-01T14:26:27.000 2019-11-01T14:29:46.000 2019-11-01T14:28:06.500 196.622236815636 UVW1 110.008696086785 2.167968043012 -14.4997985 2.41919610964309 24.2067 156.03266 7.49474 439.7397353547562 779.99063455579
00012122001 5 2019-11-01T14:29:49.000 2019-11-01T14:33:09.000 2019-11-01T14:31:29.000 196.633102548027 UVW1 110.008696086785 2.167948414498 -14.4990235 2.41916111390857 24.2068 156.0335 7.49325 436.4747312056885 775.1299118848109
00012122001 6 2019-11-01T14:33:12.000 2019-11-01T14:33:55.000 2019-11-01T14:33:33.500 42.6103593984021 UVW1 110.008696086785 2.167936347164 -14.498547 2.41914057996867 24.2069 156.03403 7.49233 434.26140922909855 771.368202719171
00012124001 1 2019-11-01T15:43:44.000 2019-11-01T15:44:55.000 2019-11-01T15:44:19.500 70.485172398841 U 109.931887361172 2.167525030924 -14.4822923 2.41835138201789 24.2169 156.05758 7.46348 198.80377240694895 1023.5811068530326
00012125001 1 2019-11-01T15:45:19.000 2019-11-01T15:48:39.000 2019-11-01T15:46:59.000 196.730836413622 V 110.022301091287 2.16750958859 -14.4816815 2.41831493459403 24.2172 156.05828 7.46239 467.959516097584 791.7528080501187
00012125001 2 2019-11-01T15:48:42.000 2019-11-01T15:51:55.000 2019-11-01T15:50:18.500 190.714998783817 V 110.022301091287 2.167490274547 -14.4809175 2.41827059526967 24.2176 156.05913 7.461 464.90156208733754 786.0299545321591
00012126001 1 2019-11-01T15:52:18.000 2019-11-01T15:55:38.000 2019-11-01T15:53:58.000 196.622217104344 UVW1 109.999087752916 2.16746902553 -14.4800768 2.41822375962604 24.2179 156.06004 7.45946 445.3675103282006 797.5892025164826
00012126001 2 2019-11-01T15:55:41.000 2019-11-01T15:59:01.000 2019-11-01T15:57:21.000 196.73081670233 UVW1 109.999087752916 2.167449375018 -14.4792994 2.41818252066221 24.2182 156.06087 7.458 443.4165730553434 789.5128000499451
00012126001 3 2019-11-01T15:59:04.000 2019-11-01T16:02:23.000 2019-11-01T16:00:43.500 196.622236698307 UVW1 109.999087752916 2.167429774061 -14.4785238 2.41814351852529 24.2184 156.06168 7.45653 440.32160210389117 784.8800625568904
00012126001 4 2019-11-01T16:02:26.000 2019-11-01T16:05:46.000 2019-11-01T16:04:06.000 196.622217104344 UVW1 109.999087752916 2.167410174258 -14.4777482 2.41810668604768 24.2185 156.06251 7.45505 436.79007914003415 779.56138945781
