OBS_ID EXTENSION START END MIDTIME EXP_TIME FILTER PA HELIO HELIO_V PHASE RA DEC PX PY
00011788001 1 2019-09-27T03:06:26.000 2019-09-27T03:10:55.000 2019-09-27T03:08:40.500 264.935611669103 UVW2 115.001319021356 2.566418074415 -23.5809325 17.2669 139.80183 24.67808 450.2032719995552 790.9382761628099
00011789001 1 2019-09-27T03:11:18.000 2019-09-27T03:14:38.000 2019-09-27T03:12:58.000 196.611370848586 V 115.000996501525 2.566377479849 -23.5803752 17.2675 139.80301 24.67692 427.96879005383505 756.2538849713283
00011789001 2 2019-09-27T03:14:41.000 2019-09-27T03:17:55.000 2019-09-27T03:16:18.000 191.529408123862 V 115.000996501525 2.566345950921 -23.5799423 17.2679 139.8039 24.67602 427.80800042434856 752.8064116117351
00011790001 1 2019-09-27T03:18:19.000 2019-09-27T03:21:39.000 2019-09-27T03:19:59.000 196.622216987015 UVW1 114.99791692693 2.566311112323 -23.579464 17.2683 139.80487 24.67501 426.50904430972156 752.6483900496471
00011790001 2 2019-09-27T03:21:42.000 2019-09-27T03:25:02.000 2019-09-27T03:23:22.000 196.622236698307 UVW1 114.99791692693 2.566279112066 -23.5790246 17.2686 139.80575 24.67408 424.6110300427219 748.7828624225416
00011790001 3 2019-09-27T03:25:05.000 2019-09-27T03:28:25.000 2019-09-27T03:26:45.000 196.622236815636 UVW1 114.99791692693 2.566247112581 -23.5785852 17.2688 139.80665 24.67315 421.2690186228965 745.5219588902937
00011790001 4 2019-09-27T03:28:28.000 2019-09-27T03:31:47.000 2019-09-27T03:30:07.500 196.622256409599 UVW1 114.99791692693 2.566215192671 -23.5781468 17.269 139.80756 24.67222 417.2379847682563 740.6547638852563
00011790001 5 2019-09-27T03:31:50.000 2019-09-27T03:35:10.000 2019-09-27T03:33:30.000 196.600504998866 UVW1 114.99791692693 2.566183273499 -23.5777085 17.2692 139.8085 24.67129 413.80697481507815 739.9215453479378
00011790001 6 2019-09-27T03:35:13.000 2019-09-27T03:35:55.000 2019-09-27T03:35:34.000 41.3724171641458 UVW1 114.99791692693 2.566163728286 -23.57744 17.2693 139.80909 24.67072 411.2143071014843 737.2688934607681
00011792001 1 2019-09-27T04:38:35.000 2019-09-27T04:40:55.000 2019-09-27T04:39:45.000 138.255607692279 UVW2 115.01970778688 2.565556822494 -23.5690997 17.2794 139.83143 24.65384 316.894109821553 721.3861942428749
00011793001 1 2019-09-27T04:41:19.000 2019-09-27T04:44:39.000 2019-09-27T04:42:59.000 196.622236815636 V 114.991840839548 2.56552625371 -23.5686794 17.28 139.83236 24.65298 447.95393648126503 768.0454587965579
00011793001 2 2019-09-27T04:44:42.000 2019-09-27T04:47:55.000 2019-09-27T04:46:18.500 190.25890752837 V 114.991840839548 2.565494818964 -23.5682471 17.2805 139.83329 24.65208 447.531973352239 764.2972113779201
00011794001 1 2019-09-27T04:48:18.000 2019-09-27T04:51:38.000 2019-09-27T04:49:58.000 196.622217104344 UVW1 115.012723498202 2.565460233689 -23.5677715 17.281 139.83428 24.65109 426.6634768809893 754.3264549666022
00011794001 2 2019-09-27T04:51:41.000 2019-09-27T04:55:01.000 2019-09-27T04:53:21.000 196.622236698307 UVW1 115.012723498202 2.565428249008 -23.5673316 17.2814 139.83517 24.65017 427.09868340657874 751.0330357682692
00011794001 3 2019-09-27T04:55:04.000 2019-09-27T04:58:23.000 2019-09-27T04:56:43.500 196.578792893388 UVW1 115.012723498202 2.565396343876 -23.5668928 17.2817 139.83606 24.64925 423.67920372450084 747.7713837430337
00011794001 4 2019-09-27T04:58:26.000 2019-09-27T05:01:46.000 2019-09-27T05:00:06.000 196.622236698307 UVW1 115.012723498202 2.565364439516 -23.5664539 17.2819 139.83694 24.64832 421.10808468354986 745.081678672194
00011794001 5 2019-09-27T05:01:49.000 2019-09-27T05:05:09.000 2019-09-27T05:03:29.000 196.622216987015 UVW1 115.012723498202 2.565332457149 -23.566014 17.2821 139.83785 24.64738 417.61501423813 741.9676481694504
00011794001 6 2019-09-27T05:05:12.000 2019-09-27T05:05:55.000 2019-09-27T05:05:33.500 42.7732294631016 UVW1 115.012723498202 2.565312842723 -23.5657441 17.2823 139.83841 24.64681 416.3032324462507 739.5978962400724
00011796001 1 2019-09-27T06:19:06.000 2019-09-27T06:20:55.000 2019-09-27T06:20:00.500 107.405453773471 UVW2 115.03972629415 2.564609226602 -23.5560581 17.2935 139.86365 24.62712 326.68694391827233 798.3651097563545
00011797001 1 2019-09-27T06:21:19.000 2019-09-27T06:24:38.000 2019-09-27T06:22:58.500 196.600504998866 V 114.981797134408 2.564581194595 -23.555672 17.2939 139.86447 24.62632 438.6917256113907 752.6058155903227
