OBS_ID EXTENSION START.[UT] END.[UT] MIDTIME EXP_TIME.[s] FILTER HELIO.[AU] HELIOV.[km/s] PHASE[deg]
00011788001 1 2019-09-27T03:06:26.000 2019-09-27T03:10:55.000 2019-09-27T03:08:40.500 269.181140065193 UVW2 2.566418076955 -23.5809325 17.2655
00011789001 1 2019-09-27T03:11:18.000 2019-09-27T03:14:38.000 2019-09-27T03:12:58.000 199.762019991875 V 2.566377483009 -23.5803752 17.2661
00011789001 2 2019-09-27T03:14:41.000 2019-09-27T03:17:55.000 2019-09-27T03:16:18.000 194.598620057106 V 2.566345954392 -23.5799424 17.2666
00011790001 1 2019-09-27T03:18:19.000 2019-09-27T03:21:39.000 2019-09-27T03:19:59.000 199.773039937019 UVW1 2.566311115943 -23.579464 17.2671
00011790001 2 2019-09-27T03:21:42.000 2019-09-27T03:25:02.000 2019-09-27T03:23:22.000 199.77305996418 UVW1 2.566279115638 -23.5790246 17.2676
00011790001 3 2019-09-27T03:25:05.000 2019-09-27T03:28:25.000 2019-09-27T03:26:45.000 199.773060083389 UVW1 2.566247115929 -23.5785852 17.268
00011790001 4 2019-09-27T03:28:28.000 2019-09-27T03:31:47.000 2019-09-27T03:30:07.500 199.773079991341 UVW1 2.566215195632 -23.5781469 17.2685
00011790001 5 2019-09-27T03:31:50.000 2019-09-27T03:35:10.000 2019-09-27T03:33:30.000 199.750980019569 UVW1 2.566183275928 -23.5777085 17.269
00011790001 6 2019-09-27T03:35:13.000 2019-09-27T03:35:55.000 2019-09-27T03:35:34.000 42.0354000329971 UVW1 2.566163730328 -23.5774401 17.2693
00011792001 1 2019-09-27T04:38:35.000 2019-09-27T04:40:55.000 2019-09-27T04:39:45.000 140.471119999886 UVW2 2.565556824161 -23.5690997 17.2782
00011793001 1 2019-09-27T04:41:19.000 2019-09-27T04:44:39.000 2019-09-27T04:42:59.000 199.773060083389 V 2.565526256019 -23.5686794 17.2786
00011793001 2 2019-09-27T04:44:42.000 2019-09-27T04:47:55.000 2019-09-27T04:46:18.500 193.307760000229 V 2.565494821823 -23.5682471 17.2791
00011794001 1 2019-09-27T04:48:18.000 2019-09-27T04:51:38.000 2019-09-27T04:49:58.000 199.773040056229 UVW1 2.565460236996 -23.5677715 17.2796
00011794001 2 2019-09-27T04:51:41.000 2019-09-27T04:55:01.000 2019-09-27T04:53:21.000 199.77305996418 UVW1 2.56542825256 -23.5673316 17.2801
00011794001 3 2019-09-27T04:55:04.000 2019-09-27T04:58:23.000 2019-09-27T04:56:43.500 199.72891998291 UVW1 2.565396347499 -23.5668928 17.2805
00011794001 4 2019-09-27T04:58:26.000 2019-09-27T05:01:46.000 2019-09-27T05:00:06.000 199.77305996418 UVW1 2.565364443032 -23.566454 17.281
00011794001 5 2019-09-27T05:01:49.000 2019-09-27T05:05:09.000 2019-09-27T05:03:29.000 199.773039937019 UVW1 2.565332460384 -23.566014 17.2815
00011794001 6 2019-09-27T05:05:12.000 2019-09-27T05:05:55.000 2019-09-27T05:05:33.500 43.4586600065231 UVW1 2.565312845706 -23.5657442 17.2818
00011796001 1 2019-09-27T06:19:06.000 2019-09-27T06:20:55.000 2019-09-27T06:20:00.500 109.126599907875 UVW2 2.564609229159 -23.5560582 17.2921
00011797001 1 2019-09-27T06:21:19.000 2019-09-27T06:24:38.000 2019-09-27T06:22:58.500 199.750980019569 V 2.564581197601 -23.555672 17.2925
00011797001 2 2019-09-27T06:24:42.000 2019-09-27T06:27:56.000 2019-09-27T06:26:19.000 193.859399914742 V 2.564549623278 -23.555237 17.293
00011798001 1 2019-09-27T06:28:18.000 2019-09-27T06:31:38.000 2019-09-27T06:29:58.000 199.773040056229 UVW1 2.56451513628 -23.5547619 17.2935
00011798001 2 2019-09-27T06:31:41.000 2019-09-27T06:35:01.000 2019-09-27T06:33:21.000 199.773060083389 UVW1 2.564483169502 -23.5543214 17.294
00011798001 3 2019-09-27T06:35:04.000 2019-09-27T06:38:23.000 2019-09-27T06:36:43.500 199.784079909325 UVW1 2.564451282055 -23.5538821 17.2944
00011798001 4 2019-09-27T06:38:26.000 2019-09-27T06:41:46.000 2019-09-27T06:40:06.000 199.784100055695 UVW1 2.564419395203 -23.5534427 17.2949
00011798001 5 2019-09-27T06:41:49.000 2019-09-27T06:45:09.000 2019-09-27T06:43:29.000 199.784080028534 UVW1 2.564387430215 -23.5530022 17.2954
00011798001 6 2019-09-27T06:45:12.000 2019-09-27T06:45:55.000 2019-09-27T06:45:33.500 43.6461999416351 UVW1 2.564367826368 -23.552732 17.2957
00011800001 1 2019-09-27T07:53:35.000 2019-09-27T07:55:55.000 2019-09-27T07:54:45.000 140.018760085106 UVW2 2.563714257421 -23.5437191 17.3053
00011801001 1 2019-09-27T07:56:18.000 2019-09-27T07:59:38.000 2019-09-27T07:57:58.000 199.784080028534 V 2.563683879596 -23.5432999 17.3057
00011801001 2 2019-09-27T07:59:41.000 2019-09-27T08:02:55.000 2019-09-27T08:01:18.000 194.289699912071 V 2.563652400556 -23.5428655 17.3062
00011802001 1 2019-09-27T08:03:18.000 2019-09-27T08:06:38.000 2019-09-27T08:04:58.000 199.773039937019 UVW1 2.563617774282 -23.5423876 17.3067
00011802001 2 2019-09-27T08:06:41.000 2019-09-27T08:10:01.000 2019-09-27T08:08:21.000 199.784080028534 UVW1 2.563585824298 -23.5419466 17.3072
00011802001 3 2019-09-27T08:10:04.000 2019-09-27T08:13:24.000 2019-09-27T08:11:44.000 199.773060083389 UVW1 2.563553874913 -23.5415056 17.3076
00011802001 4 2019-09-27T08:13:27.000 2019-09-27T08:16:46.000 2019-09-27T08:15:06.500 199.762019991875 UVW1 2.563522004818 -23.5410657 17.3081
00011802001 5 2019-09-27T08:16:49.000 2019-09-27T08:20:09.000 2019-09-27T08:18:29.000 199.77305996418 UVW1 2.563490135318 -23.5406257 17.3086
00011802001 6 2019-09-27T08:20:12.000 2019-09-27T08:20:55.000 2019-09-27T08:20:33.500 43.4917600154877 UVW1 2.563470541773 -23.5403553 17.3089
00011804001 1 2019-09-27T09:26:18.000 2019-09-27T09:27:55.000 2019-09-27T09:27:06.500 97.0345199108124 UVW2 2.562842251373 -23.5316762 17.3181
