OBS_ID EXTENSION START END MIDTIME EXP_TIME FILTER PA HELIO HELIO_V OBS_DIS PHASE RA DEC PX PY
00011788001 1 2019-09-27T03:06:26.000 2019-09-27T03:10:55.000 2019-09-27T03:08:40.500 264.935611669103 UVW2 115.001319021356 2.566882332614 -23.5816506 3.10316238797198 17.2637 139.80185 24.67805 450.13803742092 790.8307493841535
00011789001 1 2019-09-27T03:11:18.000 2019-09-27T03:14:38.000 2019-09-27T03:12:58.000 196.611370848586 V 115.000996501525 2.566841736812 -23.5810929 3.10309081393626 17.2643 139.80303 24.67689 427.9035519066925 756.1463599718036
00011789001 2 2019-09-27T03:14:41.000 2019-09-27T03:17:55.000 2019-09-27T03:16:18.000 191.529408123862 V 115.000996501525 2.566810206925 -23.5806598 3.10303739237613 17.2647 139.80391 24.67599 427.775343499309 752.698864391656
00011790001 1 2019-09-27T03:18:19.000 2019-09-27T03:21:39.000 2019-09-27T03:19:59.000 196.622216987015 UVW1 114.99791692693 2.566775367267 -23.5801812 3.10298082024687 17.2651 139.80488 24.67498 426.4763866897568 752.5408429589903
00011790001 2 2019-09-27T03:21:42.000 2019-09-27T03:25:02.000 2019-09-27T03:23:22.000 196.622236698307 UVW1 114.99791692693 2.566743366037 -23.5797415 3.10293122055501 17.2653 139.80577 24.67405 424.545788639539 748.6753384873301
00011790001 3 2019-09-27T03:25:05.000 2019-09-27T03:28:25.000 2019-09-27T03:26:45.000 196.622236815636 UVW1 114.99791692693 2.566711365579 -23.5793018 3.10288385523886 17.2656 139.80667 24.67312 421.20377604873886 745.4144353662685
00011790001 4 2019-09-27T03:28:28.000 2019-09-27T03:31:47.000 2019-09-27T03:30:07.500 196.622256409599 UVW1 114.99791692693 2.566679444699 -23.5788632 3.10283869221741 17.2658 139.80758 24.67219 417.1727409773681 740.54724079978
00011790001 5 2019-09-27T03:31:50.000 2019-09-27T03:35:10.000 2019-09-27T03:33:30.000 196.600504998866 UVW1 114.99791692693 2.566647524558 -23.5784246 3.10279537038208 17.2659 139.80852 24.67126 413.74172971152433 739.8140227588506
00011790001 6 2019-09-27T03:35:13.000 2019-09-27T03:35:55.000 2019-09-27T03:35:34.000 41.3724171641458 UVW1 114.99791692693 2.566627978751 -23.578156 3.10276961221679 17.266 139.80911 24.67069 411.149061315586 737.1613711019761
00011792001 1 2019-09-27T04:38:35.000 2019-09-27T04:40:55.000 2019-09-27T04:39:45.000 138.255607692279 UVW2 115.01970778688 2.566021054592 -23.5698105 3.10182190112148 17.2762 139.83145 24.65381 316.8288291233237 721.278687544153
00011794001 1 2019-09-27T04:48:18.000 2019-09-27T04:51:38.000 2019-09-27T04:49:58.000 196.622217104344 UVW1 115.012723498202 2.565924462876 -23.5684815 3.10164943702086 17.2777 139.83429 24.65106 426.6308137374363 754.218907663238
00011794001 2 2019-09-27T04:51:41.000 2019-09-27T04:55:01.000 2019-09-27T04:53:21.000 196.622236698307 UVW1 115.012723498202 2.565892477232 -23.5680413 3.10159611586038 17.2781 139.83519 24.65014 427.0334303212105 750.9255113578406
